학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	GEN7044-15080	영어말하기및표현연습2(영어노래분석과표현기법)	Gary Joseph Turnham	2	금(11:00-13:00)	인문관121강의실		28	
0	핵심교양	GEN3041-15435	초급중국어1	유우	3	금(11:00-13:00)	제1공학관201강의실,		33	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15436	초급중국어1	박준수	3	화(15:00-17:00)	제2공학관312강의실,		25	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15437	초급중국어1	박준수	3	수(11:00-13:00)	사회과학관153강의실,		22	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15438	초급중국어1	박준수	3	수(15:00-17:00)	사회과학관153강의실,		22	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15439	초급중국어1	박준수	3	목(11:00-13:00)	사회과학관153강의실,		24	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15440	초급중국어1	박준수	3	목(13:00-15:00)	사회과학관153강의실,		16	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15442	초급중국어1	김명신	3	월(15:00-17:00)	제1공학관207강의실,		9	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15443	초급중국어1	ZHAO MENGMENG	3	화(11:00-13:00)	제2공학관312강의실,		30	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15444	초급중국어1	ZHAO MENGMENG	3	화(13:00-15:00)	제2공학관312강의실,		28	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15445	초급중국어1	한승	3	수(09:00-11:00)	제2공학관312강의실,		24	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	GEN3041-15446	초급중국어1	한승	3	수(13:00-15:00)	제2공학관312강의실,		26	* 중국어권 국적자, 어학특기자, 전과정해외이수자, 중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
0	핵심교양	CUL1180-15247	뉴리터러시	조병영	3	목(13:00-14:30),목(14:30-16:00)	사범대학본관계단강의실(312)		43	
0	핵심교양	ENG4017-15310	실용영문법	이광희	3	시간미지정강좌,시간미지정강좌			140	
0	핵심교양	GEN5069-15123	중급프랑스어	Rukiye AKDAG	2	금(11:00-13:00)	제1공학관603강의실		22	
0	핵심교양	FUT1004-15290	호모테크노사이언티스트의상상력과창조성	김호연	3	수(16:00-18:00)	인문관318강의실,		18	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). IC-PBL(C), SMART-F 강좌.
0	핵심교양	FUT2005-15291	공학영어읽기	임동진	3	화(09:00-10:30),화(10:30-12:00)	인문관318강의실		22	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). 영어전용강좌.
