학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	FUT4001-15273	인문학으로기술읽기	오경준	3	목(16:00-17:30),목(17:30-19:00)	인문관318강의실		22	
0	핵심교양	FUT1006-15274	탈진실시대의언론텍스트읽기와쓰기	신성환	3	금(13:00-14:30),금(14:30-16:00)	인문관318강의실		35	
0	핵심교양	CUL6014-15174	연극치료	김석윤	2	수(11:00-13:00)	올림픽체육관블랙박스씨어터		43	
0	핵심교양	CUL1215-15175	21세기뮤지컬과미래예술	김준희	3	월(15:00-16:30),월(16:30-18:00)	올림픽체육관230강의실		31	
0	핵심교양	GEN8004-15448	브리꼴뢰르-융합형인재	김현경	3	화(13:00-14:30),화(14:30-16:00)	사회과학관153강의실		27	
0	핵심교양	CUL3102-15062	The Language of Cinema	Hugh Newton	2	월(15:00-17:00)	제2공학관202강의실(녹화전용)		41	
0	핵심교양	CUL1026-15157	대학합창	임병훈	2	금(09:00-11:00)	백남음악관백남홀		74	남자반, 수강신청 종료 이후 15158 수업과 합반 예정^성별 남자 동일 =
0	핵심교양	CUL1029-15159	쉽게듣는서양오페라	김유진	2	수(09:00-11:00)	백남음악관백남홀		147	
0	핵심교양	CUL1149-15164	스토리텔링으로보는춤	한정미	2	목(11:00-13:00)	올림픽체육관334강의실		41	
0	핵심교양	CUL7110-15173	블랜디드온스테이지-뮤지컬제작프로젝트	송용진	3	금(15:00-18:00)	올림픽체육관104호한양예술극장		16	개별 수강신청 대상 강좌(개인별 신청 서류 제출, 필요 시 사전 면담)
0	핵심교양	CUL1115-15057	Aesthetic Awareness in the Modern World	Gary Joseph Turnham	2	월(13:00-15:00)	인문관307강의실		32	
0	핵심교양	GEN8040-15033	생물학연대기	정혜경	2	금(13:00-15:00)	제1공학관505강의실		59	
0	핵심교양	CUL1217-15211	명화속에숨어있는심리학	조영신	3	화(14:00-16:00),화(16:00-17:00)	사범대학본관대강의실4(302)		36	
0	핵심교양	CUL2022-15245	말과현대생활	강효경	2	목(15:00-17:00)	사범대학본관대강의실6(308)		36	
0	핵심교양	CUL6107-15488	영성과음악	이천진	2	수(15:00-17:00)	비지정()		31	
0	핵심교양	CUL1000-15246	문학과사랑	김세림	2	화(11:00-13:00)	사범대학본관대강의실3(303)		48	
0	핵심교양	CUL0130-15248	디지털저널리즘	Tammy Ko Robinson	2	화(13:00-15:00)	사범대학본관시각멀티미디어디자인2(102)		16	
0	핵심교양	CUL2019-15239	심리학의이해	이숙희	2	수(13:00-15:00)	사범대학본관멀티미디어강의실(213)		67	
0	핵심교양	CUL2019-15240	심리학의이해	이숙희	2	수(15:00-17:00)	사범대학본관멀티미디어강의실(213)		66	
0	핵심교양	CUL4089-15293	중국근현대사	이승아	2	목(11:00-13:00)	제1공학관603강의실		45	
0	핵심교양	CUL1056-15298	한국의역사와문화	박종연	2	수(11:00-13:00)	제2공학관301강의실		57	
0	핵심교양	CUL1056-15299	한국의역사와문화	박종연	2	수(13:00-15:00)	제2공학관301강의실		49	
0	핵심교양	CUL1056-15300	한국의역사와문화	홍양희	2	목(15:00-17:00)	제2공학관302강의실		64	
0	핵심교양	GEN5073-15308	영어권생활문화와영어학습	Tory S. Thorkelson	3	화(13:00-14:30),화(14:30-16:00)	인문관308강의실		17	
0	핵심교양	CUL5043-15313	재미있는한자세계	김진희	2	금(13:00-15:00)	제2공학관301강의실		52	
0	핵심교양	CUL1073-15321	인간의본성에관한철학적담론	이근세	2	화(13:00-15:00)	인문관311강의실		47	
0	핵심교양	CUL7009-15431	인문학과예술이본인간	유성호	2	수(11:00-13:00)	백남음악관백남홀		451	
