교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
예술클래식:천재와광기,임은희,5,46,49,5,31,64,54,46,0,3.72,0,핵심교양/전공핵심,CLS1006-15461,3,"수(13:00-14:30),수(14:30-16:00)",제1공학관409강의실
사회클래식BL:성과인간의대화,임은희,2,71,27,2,44,54,68,30,1,4.39,0,핵심교양/전공심화,CLS1010-15462,3,목(13:00-15:00),"제1공학관209강의실,"
사회클래식BL:성과인간의대화,임은희,2,71,27,2,44,54,68,30,1,4.39,0,핵심교양,CLS1010-15460,3,목(11:00-13:00),"제1공학관209강의실,"
과학클래식:생명과문명의융합적세계관을향하여,정혜경,33,64,3,15,77,8,97,1,1,4.99,0,핵심교양,CLS1022-15034,3,"수(13:00-14:30),수(14:30-16:00)",제1공학관505강의실
과학클래식:생명과문명의융합적세계관을향하여,정혜경,33,64,3,15,77,8,97,1,1,4.99,0,핵심교양,CLS1022-15035,3,"금(09:00-10:30),금(10:30-12:00)",제2공학관210강의실
미디어로세상읽기,이영희,2,73,25,94,6,0,43,54,4,4.44,0,핵심교양,CUL6078-15356,2,월(13:00-15:00),사회과학관103강의실
사회클래식:자서전의힘,김현주,5,75,20,0,41,59,46,52,2,4.46,0,핵심교양,CLS1015-15023,3,수(11:00-13:00),"제1공학관501강의실,"
인문클래식:인간과가족,박동욱,0,43,57,12,81,7,29,59,12,3.98,0,핵심교양/전공핵심,CLS1002-15098,3,"목(09:00-10:30),목(10:30-12:00)",제1공학관103강의실
인문클래식:인간과가족,박동욱,0,43,57,12,81,7,29,59,12,3.98,0,핵심교양,CLS1002-15099,3,"목(16:00-17:30),목(17:30-19:00)",제1공학관103강의실
"예술클래식:일상과예술,그리고상상력",강민경,15,58,27,18,55,27,37,47,16,3.82,0,핵심교양/전공핵심,CLS1005-15005,3,수(09:00-11:00),"제1공학관502강의실,"
