교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
미분적분학2,최나리,16,71,13,97,0,3,14,62,24,4.59,1,전공기초(필수),GEN2053-15412,3,"화(13:00-14:30),목(14:30-16:00)","제1공학관405강의실,제1공학관509강의실"
일반물리학및실험1,이인숙,0,0,0,0,0,0,0,0,0,3.0,0,전공기초(필수),CUL3011-15413,4,"월(15:00-17:00),수(17:00-19:00)","자연과학관IC-PBL전산강의실(222),,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실6(218)"
과학기술의철학적이해,천미림,28,69,3,94,6,0,44,48,8,4.16,0,교양필수/전공핵심,GEN4091-15362,3,수(13:00-14:30),"제1공학관507강의실,"
반도체공정응용,박현정,0,0,0,0,0,0,0,0,0,4.63,0,타전공(일반)선택,SBC0004-15478,3,"목(15:00-17:00),목(17:00-19:00)",제1공학관304강의실
창의적컴퓨팅,장병철,0,0,0,0,0,0,0,0,0,5.0,0,교양필수,CUL0011-15484,3,월(17:00-19:00),",경영관B103강의실"
4차산업혁명과사회의이해,이유신,35,55,10,6,16,77,77,19,3,4.68,0,타전공(일반)선택,CUL1190-15466,3,"목(13:00-15:00),목(15:00-16:00)",사회과학관103강의실
교육철학및교육사,최정희,0,53,47,12,76,12,71,29,0,4.82,0,교직선택,EDU2014-15145,2,화(13:00-15:00),사범대학본관멀티미디어강의실(213)
미분적분학1,황신철,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-15405,3,"월(14:30-16:00),수(13:00-14:30)","제1공학관602강의실,제1공학관402강의실"
미분적분학1,조규동,7,93,0,93,0,7,21,79,0,4.64,1,전공기초(필수),GEN2052-15406,3,"화(14:30-16:00),목(14:30-16:00)",자연과학관226강의실
미분적분학1,최나리,5,67,29,98,2,0,36,55,10,4.64,1,전공기초(필수),GEN2052-15407,3,"월(13:00-14:30),수(10:30-12:00)","제1공학관602강의실,제1공학관509강의실"
미분적분학1,권윤기,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-15409,3,"월(10:30-12:00),수(09:00-10:30)",제1공학관405강의실
미분적분학1,장정환,0,78,22,94,0,6,33,61,6,4.44,1,전공기초(필수),GEN2052-15410,3,"월(16:00-17:30),수(16:00-17:30)",제1공학관405강의실
사회혁신을위한미디어의이해,이동형,0,73,27,7,67,27,47,40,13,3.6,0,타전공(일반)선택,CUL1174-15467,3,"수(13:00-14:30),수(14:30-16:00)",사회과학관253강의실
디지털플랫폼과경제및사회적이슈,박태영,3,23,74,0,29,71,45,32,23,4.16,0,타전공(일반)선택,CUL1182-15468,3,"금(13:00-14:00),금(14:00-16:00)",경영관301강의실
패션리테일4.0시대옴니채널마케팅,김정희,0,60,40,0,50,50,90,10,0,5.0,0,타전공(일반)선택,CUL1176-15472,3,"목(16:00-17:30),목(17:30-19:00)",생활과학관컴퓨터실
미분적분학2,정예원,15,73,12,94,6,0,6,52,42,3.97,1,전공기초(필수),GEN2053-15411,3,"월(09:00-10:30),금(10:30-12:00)",제1공학관509강의실
과학기술의철학적이해,천미림,28,69,3,94,6,0,44,48,8,4.16,0,교양필수,GEN4091-15364,3,목(09:00-10:30),"제1공학관507강의실,"
ESG평가방법론,양재용,29,59,12,0,59,41,82,18,0,4.47,0,타전공(일반)선택,CUL7113-15428,3,"수(13:00-14:30),수(14:30-16:00)",융합교육관강의실(705-608)
교육사회학,김재영,2,80,19,98,2,0,46,43,11,4.39,0,교직선택,EDU2003-15146,2,목(09:00-11:00),사범대학본관대강의실7(309)
교육실습,김선아,0,0,0,0,0,0,0,0,0,5.0,0,교직필수,EDU4003-15148,2,시간미지정강좌,비지정()
교육과정론,김혜실,22,51,27,17,56,27,56,32,13,4.03,0,교직선택,EDU3078-15153,2,수(13:00-15:00),사범대학본관대강의실5(307)
미분적분학1,정예원,14,72,14,93,5,2,30,58,12,4.67,1,전공기초(필수),GEN2052-15408,3,"화(10:30-12:00),금(09:00-10:30)",제1공학관405강의실
창의적컴퓨팅,조인순,12,71,17,98,2,0,28,58,14,2.86,0,교양필수,CUL0011-15415,3,금(09:00-11:00),",제2공학관최병부SW실습실(303)"
사랑의실천1(한양나눔),최영태,25,69,6,98,1,1,88,11,1,4.77,0,교양필수,SYH0001-15420,2,시간미지정강좌,
사랑의실천1(한양나눔),최영태,25,69,6,98,1,1,88,11,1,4.77,0,교양필수,SYH0001-15421,2,시간미지정강좌,
사랑의실천1(한양나눔),최영태,25,69,6,98,1,1,88,11,1,4.77,0,교양필수,SYH0001-15422,2,시간미지정강좌,
사랑의실천4(미래실용인재),최영태,3,75,22,98,2,1,84,15,1,4.61,0,교양필수,SYH0004-15423,2,시간미지정강좌,
말과글,장예영,11,81,9,46,53,2,61,35,4,4.74,1,교양필수,CUL0005-15368,3,"월(10:30-12:00),수(10:30-12:00)","제1공학관505강의실,제1공학관305강의실"
말과글,정보영,0,0,0,0,0,0,0,0,0,5.0,1,교양필수,CUL0005-15371,3,"수(09:00-10:30),목(09:00-10:30)",제1공학관206강의실
말과글,정보영,0,0,0,0,0,0,0,0,0,5.0,1,교양필수,CUL0005-15372,3,"수(10:30-12:00),목(10:30-12:00)",제1공학관206강의실
말과글,정애진,8,70,21,23,52,25,41,54,5,4.54,1,교양필수,CUL0005-15373,3,"수(13:00-14:30),목(13:00-14:30)","제1공학관206강의실,제1공학관602강의실"
Ideology in Politics and Culture,Luke Oliver Allum,0,0,0,0,0,0,0,0,0,4.43,0,타전공(일반)선택,CUL7116-15072,3,"화(13:00-14:30),목(13:00-14:30)","제1공학관402강의실,제1공학관604강의실(녹화전용)"
AR/VR가상공간인터렉티브콘텐츠개발랩,고동욱,87,13,0,83,17,0,96,4,0,4.96,0,타전공(일반)선택,CUL1184-15473,3,"월(11:00-12:00),월(12:00-14:00)",비지정()
OTT드라마스토리텔링,길종철,0,50,50,0,14,86,61,39,0,4.57,0,타전공(일반)선택,CUL1192-15474,3,"화(13:00-15:00),화(15:00-16:00)",IT.BT관영화세미나실
반도체집적화기술,방승호,0,0,0,0,0,0,0,0,0,5.0,0,타전공(일반)선택,SBC0007-15481,3,화(17:00-19:00),제1공학관305강의실
전문학술영어,Younghwa Choi-Hong,0,57,43,62,38,0,36,40,24,4.36,0,교양필수,GEN6032-15030,3,"화(13:00-14:30),목(14:30-16:00)","제2공학관308강의실,제2공학관209강의실"
전문학술영어,Kimberley Jean Blount,2,43,54,30,60,10,37,31,32,3.95,0,교양필수,GEN6032-15031,3,"화(10:30-12:00),목(10:30-12:00)",인문관111강의실
전문학술영어,Kimberley Jean Blount,2,43,54,30,60,10,37,31,32,3.95,0,교양필수,GEN6032-15032,3,"수(13:00-14:30),금(13:00-14:30)","제2공학관305강의실,인문관111강의실"
교직실무,배성철,2,53,45,4,90,6,75,22,4,4.75,0,교직필수,EDU3034-15151,2,월(11:00-13:00),사범대학본관대강의실9(407)
미분적분학2,장정환,5,62,33,95,5,0,26,49,26,3.59,1,전공기초(필수),GEN2053-15516,3,"월(14:30-16:00),수(17:30-19:00)",제1공학관501강의실
