교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
외국인을위한한국의역사와문화,주혁,40,59,2,76,22,2,50,41,9,3.17,0,핵심교양,CUL6017-15307,2,수(13:00-15:00),인문관405강의실
직장인을위한프레젠테이션,정종수,55,41,3,7,14,79,93,7,0,4.9,0,핵심교양,CUL1213-15464,3,"목(13:00-15:00),목(15:00-16:00)",제1공학관601강의실
우리말어원의세계,정종수,56,44,0,0,30,70,89,11,0,4.96,0,핵심교양,CUL1211-15463,3,"수(09:00-11:00),수(11:00-12:00)",제1공학관505강의실
문화론특강,강경란,2,60,38,48,51,2,48,52,0,4.48,0,핵심교양,GEN1078-15111,2,수(15:00-17:00),제1공학관207강의실
현대음악의이해,김봄이,13,78,9,91,9,0,36,49,15,4.24,0,핵심교양,CUL1032-15160,2,월(13:00-15:00),제2음악관403강의실
철학명저제대로읽기,오애향,7,83,10,95,0,5,29,57,14,4.14,0,핵심교양,CUL1075-15324,2,금(11:00-13:00),인문관311강의실
프로이트와문화비평,김수민,0,0,0,0,0,0,0,0,0,4.83,0,핵심교양,CUL0093-15266,2,금(11:00-13:00),인문관404강의실
문화콘텐츠+나,김은정,9,91,0,18,36,45,55,45,0,4.64,0,핵심교양,FUT2004-15272,3,"수(09:00-11:00),수(11:00-12:00)",인문관318강의실
인문학으로기술읽기,오경준,14,71,14,93,7,0,7,86,7,3.5,0,핵심교양,FUT4001-15273,3,"목(16:00-17:30),목(17:30-19:00)",인문관318강의실
탈진실시대의언론텍스트읽기와쓰기,신성환,0,82,18,82,18,0,41,59,0,4.65,0,핵심교양,FUT1006-15274,3,"금(13:00-14:30),금(14:30-16:00)",인문관318강의실
연극치료,김석윤,53,47,0,20,7,73,20,47,33,4.8,0,핵심교양,CUL6014-15174,2,수(11:00-13:00),올림픽체육관블랙박스씨어터
21세기뮤지컬과미래예술,김준희,10,70,20,5,50,45,45,45,10,4.6,0,핵심교양,CUL1215-15175,3,"월(15:00-16:30),월(16:30-18:00)",올림픽체육관230강의실
브리꼴뢰르-융합형인재,김현경,3,24,72,0,7,93,90,10,0,4.55,0,핵심교양,GEN8004-15448,3,"화(13:00-14:30),화(14:30-16:00)",사회과학관153강의실
The Language of Cinema,Hugh Newton,11,74,15,18,58,25,52,34,14,4.27,0,핵심교양,CUL3102-15062,2,월(15:00-17:00),제2공학관202강의실(녹화전용)
대학합창,임병훈,57,43,0,43,47,10,86,14,0,4.89,0,핵심교양,CUL1026-15157,2,금(09:00-11:00),백남음악관백남홀
쉽게듣는서양오페라,김유진,30,66,4,99,1,0,38,58,4,4.4,0,핵심교양,CUL1029-15159,2,수(09:00-11:00),백남음악관백남홀
스토리텔링으로보는춤,한정미,59,41,0,88,6,6,35,35,29,3.35,0,핵심교양,CUL1149-15164,2,목(11:00-13:00),올림픽체육관334강의실
블랜디드온스테이지-뮤지컬제작프로젝트,송용진,0,0,0,0,0,0,0,0,0,4.38,0,핵심교양,CUL7110-15173,3,금(15:00-18:00),올림픽체육관104호한양예술극장
Aesthetic Awareness in the Modern World,Gary Joseph Turnham,2,69,29,29,56,15,27,35,38,3.89,0,핵심교양,CUL1115-15057,2,월(13:00-15:00),인문관307강의실
생물학연대기,정혜경,27,67,6,14,83,3,91,8,1,4.72,0,핵심교양,GEN8040-15033,2,금(13:00-15:00),제1공학관505강의실
명화속에숨어있는심리학,조영신,0,0,0,0,0,0,0,0,0,3.8,0,핵심교양,CUL1217-15211,3,"화(14:00-16:00),화(16:00-17:00)",사범대학본관대강의실4(302)
말과현대생활,강효경,9,82,9,2,55,43,55,41,5,4.64,0,핵심교양,CUL2022-15245,2,목(15:00-17:00),사범대학본관대강의실6(308)
영성과음악,이천진,61,37,1,66,28,6,66,30,4,4.64,0,핵심교양,CUL6107-15488,2,수(15:00-17:00),비지정()
문학과사랑,김세림,0,68,32,95,5,0,32,50,18,4.32,0,핵심교양,CUL1000-15246,2,화(11:00-13:00),사범대학본관대강의실3(303)
디지털저널리즘,Tammy Ko Robinson,5,47,47,37,58,5,53,47,0,3.32,0,핵심교양,CUL0130-15248,2,화(13:00-15:00),사범대학본관시각멀티미디어디자인2(102)
심리학의이해,이숙희,12,85,3,89,11,0,33,61,6,3.23,0,핵심교양,CUL2019-15239,2,수(13:00-15:00),사범대학본관멀티미디어강의실(213)
심리학의이해,이숙희,12,85,3,89,11,0,33,61,6,3.23,0,핵심교양,CUL2019-15240,2,수(15:00-17:00),사범대학본관멀티미디어강의실(213)
중국근현대사,이승아,25,75,0,97,3,0,34,66,0,4.44,0,핵심교양,CUL4089-15293,2,목(11:00-13:00),제1공학관603강의실
한국의역사와문화,박종연,84,13,3,92,6,1,42,55,3,4.38,0,핵심교양,CUL1056-15298,2,수(11:00-13:00),제2공학관301강의실
한국의역사와문화,박종연,84,13,3,92,6,1,42,55,3,4.38,0,핵심교양,CUL1056-15299,2,수(13:00-15:00),제2공학관301강의실
한국의역사와문화,홍양희,67,33,0,80,20,0,40,53,7,4.0,0,핵심교양,CUL1056-15300,2,목(15:00-17:00),제2공학관302강의실
재미있는한자세계,김진희,38,59,3,88,9,3,38,56,6,3.85,0,핵심교양,CUL5043-15313,2,금(13:00-15:00),제2공학관301강의실
인간의본성에관한철학적담론,이근세,86,13,1,94,6,0,47,42,11,4.4,0,핵심교양,CUL1073-15321,2,화(13:00-15:00),인문관311강의실
인문학과예술이본인간,유성호,28,68,4,93,7,0,92,8,0,4.75,0,핵심교양,CUL7009-15431,2,수(11:00-13:00),백남음악관백남홀
