교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12544,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12545,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12546,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12547,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12548,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12549,2,시간미지정강좌,비지정()
일반물리학및실험1,박대영,2,83,15,81,19,0,83,15,2,4.75,1,전공기초(필수),CUL3011-12558,4,"화(15:00-17:00),금(11:00-13:00)","제1공학관305강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)"
Adventure Design(기계융합2),김민구,85,11,4,19,56,26,100,0,0,5.0,2,전공심화,DME2062-12917,3,"수(15:00-16:00),수(16:00-20:00)",비지정()
재료역학1,김학성,3,67,31,90,10,0,69,31,0,4.77,2,전공핵심,DME2001-12912,3,수(13:00-14:30),"제2공학관210강의실,제1공학관202강의실"
열역학2,박성욱,42,52,6,81,19,0,42,56,2,4.34,3,전공핵심,MEE3002-12920,3,월(10:30-12:00),"제2공학관202강의실(녹화전용),비지정()"
동역학,장건희,0,0,0,0,0,0,0,0,0,5.0,2,전공핵심,COE2004-12911,3,"금(09:00-10:30),금(10:30-12:00)",제2공학관해동AILab_402
수치해석,엄석기,0,0,0,0,0,0,0,0,0,5.0,3,전공기초(필수),MAT3008-12915,3,"월(13:00-14:30),수(13:00-14:30)",제2공학관510강의실(녹화전용)
수치해석,육세진,0,0,0,0,0,0,0,0,0,5.0,3,전공기초(필수),MAT3008-12916,3,"월(13:00-14:30),수(13:00-14:30)","제2공학관207강의실,제2공학관210강의실"
Adventure Design(기계융합2),박우성,0,0,0,0,0,0,0,0,0,3.67,2,전공심화,DME2062-12918,3,"월(15:00-16:00),월(16:00-20:00)",비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12006,2,시간미지정강좌,비지정()
미분적분학1,황신철,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-12577,3,"월(09:00-10:30),수(10:30-12:00)",제1공학관403강의실
미분적분학1,박영선,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-12578,3,"월(09:00-10:30),수(10:30-12:00)",제1공학관404강의실
