교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
커리어개발Ⅰ:취.창업진로로드맵,박철진,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12948,1,금(15:30-16:30),제2공학관313강의실(녹화전용)
AI시대쓰기의힘,문혜연,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,CUL0203-12456,2,금(09:00-11:00),제1공학관406강의실
AI시대쓰기의힘,조소명,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,CUL0203-12457,2,금(09:00-11:00),제1공학관507강의실
산업공학종합설계1,김태복,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,4,전공심화,INE4089-12951,3,금(16:00-19:00),제2공학관205강의실
산업공학연구실현장실습3,송재욱,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,INE4110-12949,1,시간미지정강좌,비지정()
산업공학종합설계1,송재욱,0,0,0,0,0,0,0,0,0,5.00,4,전공심화,INE4089-12950,3,금(16:00-19:00),제2공학관204강의실
테크노경영학(스타트업종합설계),이재석,6,55,39,3,35,62,44,39,18,3.72,3,교양필수,GEN5026-12595,3,월(14:30-16:00),"제1공학관405강의실,"
전문학술영어,Sung Il Park,7,79,13,45,50,5,72,21,7,4.63,2,교양필수,GEN6032-12409,3,"월(14:30-16:00),목(13:00-14:30)",제2공학관308강의실
전문학술영어,Nathan John Lucas,3,41,57,15,55,30,14,37,49,3.83,2,교양필수,GEN6032-12408,3,"월(14:30-16:00),목(13:00-14:30)",제2공학관307강의실
산업공학연구실현장실습3,이기천,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,INE4110-13393,1,시간미지정강좌,비지정()
산업공학연구실현장실습3,박철진,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,INE4110-13404,1,시간미지정강좌,비지정()
