교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
커리어개발Ⅰ:취.창업진로로드맵,전진용,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12852,1,수(11:00-12:00),제1공학관304강의실
커리어개발Ⅰ:취.창업진로로드맵,유은종,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12853,1,수(11:00-12:00),제1공학관401강의실
커리어개발Ⅰ:취.창업진로로드맵,최창식,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12854,1,수(11:00-12:00),건축관IC-PBL강의실(601)
기본설계1,이완정,0,0,0,0,0,0,0,0,0,5.00,1,전공기초(필수),ARE4086-12855,3,"수(13:00-14:00),수(14:00-18:00)",공학실험스튜디오2-3
기본설계1,김희준,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,1,전공기초(필수),ARE4086-12856,3,"수(13:00-14:00),수(14:00-18:00)",융합공학스튜디오2
기본설계1,김선욱,없음,없음,없음,없음,없음,없음,없음,없음,없음,1.00,1,전공기초(필수),ARE4086-12857,3,"수(13:00-14:00),수(14:00-18:00)",융합공학스튜디오4
컴퓨터공학,김주형,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,4,전공핵심,ENE4044-12868,3,"목(13:00-15:00),목(15:00-17:00)",제2공학관정석현PC2
상상과학성찰,장신혜,없음,없음,없음,없음,없음,없음,없음,없음,없음,3.50,1,교양필수,CUL0201-12486,2,월(11:00-13:00),제1공학관201강의실
건축융합설계1,안재근,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,3,전공핵심,ARE3080-12861,3,"화(13:00-14:00),화(14:00-18:00)",공학실험스튜디오2-4
건축융합설계1,최대성,0,0,0,0,0,0,0,0,0,3.25,3,전공핵심,ARE3080-12862,3,"화(13:00-14:00),화(14:00-18:00)",융합공학스튜디오1
건축융합설계1,백준현,0,0,0,0,0,0,0,0,0,4.29,3,전공핵심,ARE3080-12863,3,"화(13:00-14:00),화(14:00-18:00)",융합공학스튜디오3
건축공학캡스톤PBL(스마트콘크리트구조와내진),최창식,없음,없음,없음,없음,없음,없음,없음,없음,없음,2.50,4,전공심화,PBL4004-12865,3,시간미지정강좌,비지정()
건축공학캡스톤PBL(지진에대한내진설계및해석방법),한상환,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,PBL4004-13394,3,시간미지정강좌,비지정()
